tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-02 5:00,2023-01-02 5:25,1,12.3,18,164
2023-01-02 5:58,2023-01-02 5:58,3,0,47,69
2023-01-02 5:16,2023-01-02 5:39,1,0,69,88
2023-01-02 5:51,2023-01-02 6:26,1,14.6,259,137
2023-01-02 5:45,2023-01-02 6:00,1,4,220,244
2023-01-02 5:53,2023-01-02 6:23,1,14.9,185,246
2023-01-02 6:23,2023-01-02 6:45,1,14.31,254,138
2023-01-02 6:04,2023-01-02 6:27,1,14.4,51,137
2023-01-02 6:29,2023-01-02 6:58,1,13.8,212,37
2023-01-02 6:08,2023-01-02 6:41,1,7.8,47,146
2023-01-02 6:15,2023-01-02 7:17,1,7.5,47,35
2023-01-02 7:47,2023-01-02 8:15,1,0,136,90
2023-01-02 7:32,2023-01-02 7:49,1,2.2,183,242
2023-01-02 7:09,2023-01-02 8:01,1,7.4,78,263
2023-01-02 8:19,2023-01-02 8:19,1,0.01,159,159
2023-01-02 8:37,2023-01-02 9:36,1,1,174,18
2023-01-02 8:11,2023-01-02 8:48,1,24.9,212,55
2023-01-02 9:17,2023-01-02 9:35,0,2.1,51,3
2023-01-02 9:32,2023-01-02 9:52,1,6.2,69,242
2023-01-02 9:12,2023-01-02 9:36,1,4.4,212,174
2023-01-02 9:10,2023-01-02 9:42,1,1.8,81,185
2023-01-02 9:17,2023-01-02 9:30,1,2.9,168,69
2023-01-02 9:50,2023-01-02 10:25,1,1.2,169,69
2023-01-02 9:18,2023-01-02 9:49,1,1.3,213,182
2023-01-02 9:15,2023-01-02 9:30,1,0,241,168
2023-01-02 9:42,2023-01-02 10:03,1,0,168,48
2023-01-02 10:27,2023-01-02 10:28,1,0,136,136
2023-01-02 10:23,2023-01-02 10:33,2,1.66,213,182
2023-01-02 10:16,2023-01-02 10:34,1,2.6,3,174
2023-01-02 10:40,2023-01-02 11:15,1,3.6,147,119
2023-01-02 10:53,2023-01-02 11:24,1,5,213,213
2023-01-02 11:55,2023-01-02 12:36,1,9.95,250,138
2023-01-02 11:46,2023-01-02 12:00,1,2.52,119,41
2023-01-02 11:52,2023-01-02 12:17,1,1.3,167,126
2023-01-02 11:13,2023-01-02 11:40,1,0,174,132
2023-01-02 12:23,2023-01-02 12:43,4,4,247,31
2023-01-02 12:55,2023-01-02 13:00,1,0,136,136
2023-01-02 12:48,2023-01-02 13:30,1,0,159,51
2023-01-02 12:14,2023-01-02 12:55,1,21.8,220,180
2023-01-02 12:49,2023-01-02 13:25,1,11.1,182,48
2023-01-02 12:04,2023-01-02 12:04,1,0,250,250
2023-01-02 12:40,2023-01-02 12:51,1,1.62,60,47
2023-01-02 12:27,2023-01-02 13:02,1,7.5,213,142
2023-01-02 12:15,2023-01-02 13:02,1,8.5,69,51
2023-01-02 12:48,2023-01-02 13:27,1,9.2,60,151
2023-01-02 12:57,2023-01-02 13:08,1,1.72,182,213
2023-01-02 13:30,2023-01-02 13:43,1,0,51,212
2023-01-02 13:36,2023-01-02 14:01,1,9.7,241,50
2023-01-02 13:49,2023-01-02 14:44,1,23,47,201
2023-01-02 13:03,2023-01-02 13:37,1,0,235,77
2023-01-02 14:05,2023-01-02 14:43,1,0,81,224
2023-01-02 14:00,2023-01-02 14:38,1,9.2,200,238
2023-01-02 14:19,2023-01-02 15:01,1,20.2,235,39
2023-01-02 14:09,2023-01-02 14:48,1,11.9,147,19
2023-01-02 14:22,2023-01-02 15:19,1,18.7,51,181
2023-01-02 14:47,2023-01-02 15:28,1,11.4,213,143
2023-01-02 14:42,2023-01-02 16:04,1,22.8,254,76
2023-01-02 15:51,2023-01-02 16:03,0,0,3,51
2023-01-02 15:05,2023-01-02 15:16,1,0,235,247
2023-01-02 15:11,2023-01-02 16:08,0,0,136,155
2023-01-02 15:08,2023-01-02 16:24,1,10.5,254,140
2023-01-02 16:42,2023-01-02 16:57,1,5.2,212,69
2023-01-02 16:15,2023-01-02 16:22,1,1.3,168,168
2023-01-02 16:36,2023-01-02 16:54,1,1.3,47,60
2023-01-02 17:34,2023-01-02 17:40,2,1.1,247,42
2023-01-02 17:13,2023-01-02 17:51,1,15.1,247,76
2023-01-02 17:25,2023-01-02 17:40,1,2.14,159,42
2023-01-02 18:26,2023-01-02 19:10,1,11,69,225
2023-01-02 20:52,2023-01-02 21:04,4,8.98,240,184
2023-01-02 21:14,2023-01-02 21:19,2,1.28,159,47
2023-01-02 22:25,2023-01-02 22:38,5,3.59,168,237
2023-01-02 23:40,2023-01-03 0:05,1,0,159,247
2023-01-03 0:14,2023-01-03 0:19,1,0.78,94,18
2023-01-03 0:12,2023-01-03 0:39,1,0,247,90
2023-01-03 2:04,2023-01-03 2:08,2,1.2,159,168
2023-01-03 2:57,2023-01-03 3:05,2,5.6,136,265
2023-01-03 2:16,2023-01-03 2:23,1,1.5,159,69
2023-01-03 3:25,2023-01-03 3:41,1,5.3,168,182
2023-01-03 4:43,2023-01-03 4:52,1,0.5,213,212
2023-01-03 4:30,2023-01-03 5:20,0,6.4,254,69
2023-01-03 5:28,2023-01-03 5:52,1,0,242,197
2023-01-03 5:36,2023-01-03 6:09,1,17.4,51,88
2023-01-03 5:37,2023-01-03 6:33,1,20.2,235,29
