tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID
2023-01-03 19:14:00,2023-01-03 19:22:00,1.0,2.36,168,247
2023-01-03 19:03:00,2023-01-03 19:33:00,1.0,5.7,32,42
2023-01-03 22:34:00,2023-01-03 22:53:00,1.0,1.8,174,185
2023-01-04 04:57:00,2023-01-04 05:31:00,1.0,15.3,18,87
2023-01-04 04:44:00,2023-01-04 05:04:00,1.0,4.4,247,220
2023-01-04 05:27:00,2023-01-04 05:55:00,1.0,17.5,51,88
2023-01-04 05:30:00,2023-01-04 05:58:00,1.0,14.1,254,134
2023-01-04 05:43:00,2023-01-04 05:55:00,1.0,1.0,32,81
2023-01-04 05:20:00,2023-01-04 05:29:00,1.0,2.36,18,136
2023-01-04 05:19:00,2023-01-04 05:31:00,1.0,1.8,78,69
2023-01-04 05:52:00,2023-01-04 06:00:00,1.0,0.6,254,254
2023-01-04 05:59:00,2023-01-04 06:23:00,1.0,7.5,159,137
2023-01-04 05:30:00,2023-01-04 06:21:00,1.0,19.5,51,209
2023-01-04 06:57:00,2023-01-04 07:21:00,1.0,4.4,51,78
2023-01-04 06:45:00,2023-01-04 07:00:00,1.0,3.36,213,208
2023-01-04 06:42:00,2023-01-04 08:13:00,1.0,15.2,3,261
2023-01-04 06:21:00,2023-01-04 06:31:00,1.0,2.3,235,136
2023-01-04 06:56:00,2023-01-04 07:35:00,1.0,3.0,69,136
2023-01-04 06:23:00,2023-01-04 07:17:00,1.0,8.7,51,69
2023-01-04 06:46:00,2023-01-04 07:23:00,1.0,3.7,182,159
2023-01-04 06:12:00,2023-01-04 06:51:00,1.0,14.0,183,87
2023-01-04 06:49:00,2023-01-04 07:44:00,1.0,6.0,159,174
2023-01-04 06:44:00,2023-01-04 07:19:00,1.0,7.5,254,168
2023-01-04 06:26:00,2023-01-04 07:17:00,1.0,16.7,51,88
2023-01-04 06:09:00,2023-01-04 06:18:00,1.0,1.95,168,168
2023-01-04 06:28:00,2023-01-04 06:52:00,1.0,10.3,213,134
2023-01-04 07:21:00,2023-01-04 08:12:00,1.0,14.5,240,217
2023-01-04 07:12:00,2023-01-04 07:20:00,3.0,1.15,247,244
2023-01-04 07:19:00,2023-01-04 07:32:00,1.0,0.9,212,213
2023-01-04 07:51:00,2023-01-04 08:12:00,1.0,5.3,78,42
2023-01-04 07:29:00,2023-01-04 07:38:00,1.0,1.1,248,78
2023-01-04 07:36:00,2023-01-04 07:53:00,1.0,2.51,247,74
2023-01-04 07:52:00,2023-01-04 08:27:00,1.0,3.0,213,69
2023-01-04 07:41:00,2023-01-04 08:13:00,1.0,8.1,167,81
2023-01-04 07:01:00,2023-01-04 07:37:00,1.0,6.0,94,51
2023-01-04 07:19:00,2023-01-04 07:27:00,1.0,0.6,242,185
2023-01-04 07:43:00,2023-01-04 08:34:00,1.0,5.2,81,78
2023-01-04 07:13:00,2023-01-04 07:31:00,1.0,2.2,247,20
2023-01-04 07:48:00,2023-01-04 08:00:00,1.0,2.0,174,254
2023-01-04 07:28:00,2023-01-04 07:50:00,1.0,8.1,168,254
2023-01-04 07:11:00,2023-01-04 07:12:00,1.0,0.35,78,47
2023-01-04 07:01:00,2023-01-04 07:17:00,1.0,6.8,247,174
2023-01-04 07:56:00,2023-01-04 08:48:00,1.0,7.2,168,186
2023-01-04 08:36:00,2023-01-04 09:35:00,1.0,10.7,220,233
2023-01-04 08:43:00,2023-01-04 08:51:00,1.0,1.0,242,250
2023-01-04 08:42:00,2023-01-04 09:18:00,1.0,5.1,168,143
2023-01-04 08:05:00,2023-01-04 08:42:00,1.0,2.9,167,94
2023-01-04 08:52:00,2023-01-04 09:35:00,1.0,3.3,167,166
2023-01-04 08:51:00,2023-01-04 09:10:00,1.0,1.7,242,242
2023-01-04 08:18:00,2023-01-04 09:35:00,1.0,4.0,254,246
2023-01-04 08:46:00,2023-01-04 09:30:00,1.0,10.5,182,48
2023-01-04 08:13:00,2023-01-04 09:08:00,1.0,11.0,18,233
2023-01-04 08:06:00,2023-01-04 08:28:00,1.0,5.3,247,213
2023-01-04 08:52:00,2023-01-04 09:10:00,1.0,4.4,213,18
2023-01-04 09:05:00,2023-01-04 09:25:00,1.0,4.99,235,74
2023-01-04 09:14:00,2023-01-04 09:37:00,1.0,1.1,51,3
2023-01-04 09:45:00,2023-01-04 10:02:00,1.0,3.8,212,169
2023-01-04 09:16:00,2023-01-04 09:30:00,1.0,5.0,220,31
2023-01-04 09:35:00,2023-01-04 09:41:00,1.0,6.46,51,265
2023-01-04 09:04:00,2023-01-04 09:21:00,1.0,1.3,213,213
2023-01-04 09:27:00,2023-01-04 10:20:00,1.0,2.6,213,242
2023-01-04 09:46:00,2023-01-04 10:09:00,1.0,0.7,182,242
2023-01-04 09:12:00,2023-01-04 09:52:00,1.0,20.3,78,132
2023-01-04 09:03:00,2023-01-04 09:23:00,1.0,2.4,235,20
2023-01-04 09:38:00,2023-01-04 10:00:00,1.0,1.5,20,174
2023-01-04 09:53:00,2023-01-04 10:06:00,1.0,1.5,247,169
2023-01-04 09:01:00,2023-01-04 09:04:00,1.0,0.35,159,168
2023-01-04 09:47:00,2023-01-04 10:05:00,1.0,5.5,213,136
2023-01-04 09:20:00,2023-01-04 09:34:00,1.0,2.2,185,78
2023-01-04 10:08:00,2023-01-04 10:39:00,1.0,3.1,220,174
2023-01-04 10:56:00,2023-01-04 11:03:00,1.0,1.02,247,116
2023-01-04 10:04:00,2023-01-04 10:29:00,1.0,5.6,220,147
2023-01-04 10:25:00,2023-01-04 10:40:00,2.0,4.82,220,247
2023-01-04 10:02:00,2023-01-04 10:28:00,1.0,3.3,51,3
2023-01-04 10:20:00,2023-01-04 11:24:00,1.0,12.2,254,229
2023-01-04 10:55:00,2023-01-04 11:13:00,1.0,5.3,213,74
2023-01-04 10:20:00,2023-01-04 10:31:00,1.0,0.4,18,241
2023-01-04 10:42:00,2023-01-04 11:15:00,1.0,2.9,174,78
2023-01-04 10:20:00,2023-01-04 10:43:00,1.0,2.6,235,167
2023-01-04 10:53:00,2023-01-04 10:58:00,1.0,0.3,159,147
2023-01-04 10:20:00,2023-01-04 10:43:00,1.0,5.1,168,241
2023-01-04 10:54:00,2023-01-04 11:11:00,1.0,3.4,200,235
2023-01-04 10:31:00,2023-01-04 10:50:00,1.0,7.0,174,183
2023-01-04 10:35:00,2023-01-04 10:39:00,1.0,0.3,18,136
2023-01-04 11:29:00,2023-01-04 11:47:00,1.0,4.7,259,185
2023-01-04 11:39:00,2023-01-04 11:46:00,1.0,0.8,242,250
2023-01-04 11:17:00,2023-01-04 11:55:00,1.0,3.1,242,18
2023-01-04 11:37:00,2023-01-04 11:39:00,1.0,2.05,220,244
2023-01-04 11:07:00,2023-01-04 11:41:00,1.0,4.9,159,208
2023-01-04 11:53:00,2023-01-04 12:14:00,1.0,1.9,213,242
2023-01-04 10:55:00,2023-01-04 11:07:00,1.0,1.66,136,127
