time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count
2023-01-06 19:00:00,1.0,10.299999999999999,27.5,182.0,97.0,2.0
2023-01-06 20:00:00,1.0,13.8,34.0,241.0,56.0,1.0
2023-01-06 21:00:00,1.0,8.4,20.0,51.0,143.0,2.0
2023-01-06 22:00:00,1.5,3.26,14.5,247.0,119.0,2.0
2023-01-06 23:00:00,1.0,1.0,9.5,32.0,247.0,6.0
2023-01-07 00:00:00,1.0,4.62,13.0,247.0,94.0,5.0
2023-01-07 01:00:00,1.0,8.16,17.0,159.0,185.0,1.0
2023-01-07 02:00:00,1.0,0.7,1.0,136.0,136.0,1.0
2023-01-07 03:00:00,1.0,0.7,1.0,51.0,42.0,1.0
2023-01-07 04:00:00,1.0,22.2,31.0,235.0,39.0,1.0
2023-01-07 05:00:00,1.0,22.2,31.0,51.0,42.0,1.0
2023-01-07 06:00:00,1.0,6.43,16.0,94.0,51.0,2.0
2023-01-07 07:00:00,1.0,1.0,24.0,136.0,41.0,3.0
2023-01-07 08:00:00,1.0,3.25,23.5,51.0,3.0,8.0
2023-01-07 09:00:00,1.0,4.0,21.0,247.0,119.0,9.0
2023-01-07 10:00:00,1.0,1.25,12.0,69.0,169.0,9.0
2023-01-07 11:00:00,1.0,6.4,31.0,69.0,81.0,5.0
2023-01-07 12:00:00,1.0,8.9,33.5,81.0,24.0,4.0
2023-01-07 13:00:00,1.0,4.9,18.0,51.0,18.0,3.0
2023-01-07 14:00:00,1.0,4.65,25.0,18.0,43.0,6.0
2023-01-07 15:00:00,1.0,8.05,22.5,136.0,23.0,4.0
2023-01-07 16:00:00,3.0,2.56,21.0,20.0,50.0,3.0
2023-01-07 17:00:00,3.0,2.56,21.0,51.0,42.0,3.0
2023-01-07 18:00:00,1.0,0.74,4.0,167.0,167.0,1.0
2023-01-07 19:00:00,1.0,10.75,24.0,213.0,135.0,4.0
2023-01-07 20:00:00,1.0,6.1,23.5,159.0,20.0,2.0
2023-01-07 21:00:00,1.0,5.1,28.0,51.0,20.0,2.0
2023-01-07 22:00:00,1.0,4.2,22.0,51.0,69.0,2.0
2023-01-07 23:00:00,1.0,22.39,38.0,183.0,183.0,1.0
2023-01-08 00:00:00,1.0,22.39,38.0,51.0,42.0,1.0
2023-01-08 01:00:00,1.0,22.39,38.0,51.0,42.0,1.0
2023-01-08 02:00:00,1.0,3.15,10.0,136.0,259.0,1.0
2023-01-08 03:00:00,1.0,4.68,24.0,47.0,65.0,3.0
2023-01-08 04:00:00,1.0,4.68,24.0,51.0,42.0,3.0
2023-01-08 05:00:00,1.0,4.68,24.0,51.0,42.0,3.0
2023-01-08 06:00:00,1.0,4.68,24.0,51.0,42.0,3.0
2023-01-08 07:00:00,1.0,5.2,20.0,213.0,237.0,3.0
2023-01-08 08:00:00,1.0,11.9,30.0,235.0,24.0,5.0
2023-01-08 09:00:00,1.0,6.5,44.0,182.0,41.0,3.0
2023-01-08 10:00:00,1.0,4.54,12.0,32.0,94.0,5.0
2023-01-08 11:00:00,1.5,0.85,6.5,69.0,159.0,2.0
2023-01-08 12:00:00,1.0,14.9,37.0,213.0,76.0,1.0
2023-01-08 13:00:00,1.0,5.7,33.0,81.0,39.0,3.0
2023-01-08 14:00:00,1.0,5.7,33.0,51.0,42.0,3.0
2023-01-08 15:00:00,2.0,8.39,15.0,168.0,259.0,1.0
2023-01-08 16:00:00,1.0,3.4,37.0,159.0,213.0,1.0
2023-01-08 17:00:00,1.0,2.24,12.5,168.0,168.0,4.0
2023-01-08 18:00:00,1.0,3.7,17.0,168.0,55.0,5.0
